小类编码,小类名称,商品单价
152101,新鲜蛋品,6.78
200201,牛肉口味,22.5
200809,淀/酵/碱粉,1.3
200608,杂粮粉,4.4
220601,牛肉干,11.9
120302,苹果类,11.98
120301,柑桔柚类,14.99
120104,花果,9.96
120104,花果,1.98
301608,软抽纸巾,19.9
120101,叶菜,12
120302,苹果类,11.98
120313,其它水果,30
201401,榨菜,0.9
210402,奶茶饮品,3
301603,无芯纸,1.7
100101,鲜猪肉,29.8
120106,菌菇类,6.56
151701,猪肉火腿肠,16.3
220303,罐装薯片,17.9
120106,菌菇类,6.56
120103,芽菜,1.48
130101,凉拌素食,20
301608,软抽纸巾,8.9
231404,预调酒,10.5
200301,牛肉口味,5.5
150199,其它肠类,12.9
220801,无糖口香糖,10.9
220801,无糖口香糖,16
120104,花果,9.96
200201,牛肉口味,22.5
210501,麦片/粉,13.9
220302,袋装薯片,5.9
220405,山楂,7.5
120201,豆腐,2.96
151701,猪肉火腿肠,16.3
220111,趣味/休闲,6.3
220301,米制点心,5.9
311801,手套,8
200706,红枣,37.8
220801,无糖口香糖,10.4
120104,花果,5.8
201401,榨菜,0.5
301301,成人牙膏,9.9
100101,鲜猪肉,29.8
120106,菌菇类,18
200902,功能盐,2.3
150801,冷冻面食,10.3
220201,派,11.5
200301,牛肉口味,3.7
221202,无糖休闲食品,28
220513,香瓜子,3
120201,豆腐,1.5
220399,其他膨化点心,3.3
120309,进口水果,17.6
201306,甜面/豆瓣酱,3.7
220802,有糖口香糖,9.7
221003,杯装果冻,5.9
120106,菌菇类,5.5
120101,叶菜,5.6
120313,其它水果,9.98
120102,根茎,2.56
200105,干脆面,3.5
301101,护肤用品,40
201101,老抽酱油,7.9
201111,料酒,6.7
120105,鲜调味,6.56
120204,豆干豆皮,5
150105,肉类,4.9
220605,鱼类,1
220514,西瓜子,7.9
120313,其它水果,11.98
151503,火锅丸类,32.6
120301,柑桔柚类,9
301801,日用卫生巾,8.9
120104,花果,7.8
220111,趣味/休闲,5
220302,袋装薯片,3.3
301802,夜用卫生巾,1.5
120104,花果,2.58
120313,其它水果,23
150502,冷藏加味酸乳,12.8
120307,蕉类,5.96
220110,简装/压缩,19.8
332102,修正液/带,1.7
152101,新鲜蛋品,6.78
200101,牛肉口味,3
210106,婴儿辅助食品,4.9
130101,凉拌素食,20
300704,沐浴露,19.9
200903,绵白糖,6.8
220515,南瓜子,8.3
220515,南瓜子,8.9
110302,干货虾蟹贝类,30
120102,根茎,56
120104,花果,5.8
201103,凉拌酱油,1.3
200204,海鲜口味,12.5
220302,袋装薯片,3.7
300602,洗衣液,51.9
200708,干果,22.3
220301,米制点心,8.7
120102,根茎,3.96
200301,牛肉口味,5.5
120104,花果,3.16
300803,染发用品,108
120306,桃/李类,20
200806,香辛料,7.3
230101,可乐型,6.9
220905,黑/纯巧克力,7.9
200902,功能盐,2.3
200708,干果,22.3
130101,凉拌素食,20
120303,梨类,15.96
220514,西瓜子,10.5
120302,苹果类,11.98
301102,洁面乳,23.9
152101,新鲜蛋品,11.9
100101,鲜猪肉,27.8
200706,红枣,37.8
220111,趣味/休闲,4.9
120102,根茎,1.8
200501,挂面,8.5
201401,榨菜,0.5
120101,叶菜,3.96
120501,咸菜干货,50
200201,牛肉口味,14.7
231404,预调酒,12.9
100402,分割鸡件,17.6
120104,花果,9.96
200903,绵白糖,5.9
200702,银耳,99
220499,其他蜜饯,29.8
120307,蕉类,9.98
200607,杂粮,15.8
120104,花果,12
151813,利乐砖乳酸菌,5.5
220702,奶糖,9.5
201103,凉拌酱油,6.9
301802,夜用卫生巾,5.7
220201,派,7.5
220298,进口糕点,16.9
220305,粟米类,4.3
120101,叶菜,5.56
201107,滴醋,4.8
300701,香皂,4.9
120102,根茎,56
201008,山茶油/野茶油,87.9
100402,分割鸡件,35.8
301703,成人纸尿裤,43
220605,鱼类,1
230901,国产黄啤,9.8
150502,冷藏加味酸乳,17.9
120301,柑桔柚类,6.98
210402,奶茶饮品,4.9
220301,米制点心,3.8
120313,其它水果,23
150505,冷藏营养酸乳,11.9
120101,叶菜,1.96
120309,进口水果,17.6
220203,蛋卷,4.5
301602,平板纸,5.9
120103,芽菜,1.76
151501,肉片/串类,16.3
120101,叶菜,6
301606,手帕纸,6.9
200805,香辛粉,7.3
332201,固体胶,1.3
120303,梨类,3.18
120106,菌菇类,5.8
201501,八宝粥,3.2
120104,花果,9.96
152101,新鲜蛋品,6.78
120102,根茎,3.96
120102,根茎,3.96
120104,花果,9.6
120301,柑桔柚类,2
151807,利乐枕营养奶,2.8
301303,成人牙刷,8.9
120102,根茎,4
200706,红枣,37.8
120102,根茎,3.8
220606,海苔,2
301608,软抽纸巾,15.9
311604,保鲜袋,10
230401,红茶,2.5
120303,梨类,3.18
201501,八宝粥,3.2
220111,趣味/休闲,3.5
201103,凉拌酱油,7.9
120301,柑桔柚类,7.98
100104,猪骨,41.8
230304,植物蛋白饮料,11.3
151813,利乐砖乳酸菌,5.3
120102,根茎,5.56
200501,挂面,5.3
220699,其他即食熟制品,17.9
220302,袋装薯片,7.5
200301,牛肉口味,3
301609,湿巾纸,7.9
151809,百利包纯奶,2.1
200902,功能盐,2.3
120307,蕉类,9.98
300802,润发护发,42.9
220103,威化,14.9
220202,蛋糕,10.5
120101,叶菜,5.56
152101,新鲜蛋品,6.78
301608,软抽纸巾,9.9
301603,无芯纸,24.9
151099,其它水饺,10.3
210109,营养奶粉,20.9
230304,植物蛋白饮料,3.9
100101,鲜猪肉,27.8
120102,根茎,7.6
220204,沙琪玛,14.3
120101,叶菜,2.56
120104,花果,2.58
200607,杂粮,13.8
220106,钙奶,3.9
301602,平板纸,3.9
301608,软抽纸巾,9.7
120104,花果,7.8
120102,根茎,7.8
120102,根茎,3.96
120105,鲜调味,5.98
140301,现制西式糕点,16
220111,趣味/休闲,4.3
120102,根茎,6.56
230401,红茶,2.5
120101,叶菜,6.56
120313,其它水果,23
120201,豆腐,1.5
230399,其他果汁饮料,4.5
200203,禽肉口味,11.3
301802,夜用卫生巾,8.9
120201,豆腐,1.5
201105,香醋,1.3
220299,其他糕点,19.8
220703,软糖,2
220607,豆干类,3.9
220110,简装/压缩,19.8
120109,其它蔬菜,2
220802,有糖口香糖,10.9
300602,洗衣液,9.9
120104,花果,16
151807,利乐枕营养奶,2.8
210402,奶茶饮品,3
220799,其他糖果,54
120106,菌菇类,9
200101,牛肉口味,3
120106,菌菇类,9
332104,剪刀美工刀,0.5
120104,花果,1.8
120106,菌菇类,30
120302,苹果类,17.8
220513,香瓜子,13.8
220799,其他糖果,71
301301,成人牙膏,18.9
150503,冷藏果粒酸乳,6.9
230704,加味酸乳饮,4.3
201505,肉类罐头,19.9
100402,分割鸡件,19
120102,根茎,5
220607,豆干类,59
150504,冷藏乳酸菌,12.9
220111,趣味/休闲,4.5
120101,叶菜,2.56
120303,梨类,3.18
201109,白醋,2.9
220203,蛋卷,4.5
130101,凉拌素食,20
150506,冷藏原味鲜乳,15.9
230604,健康机能饮料,6
120102,根茎,3.96
120309,进口水果,17.6
151813,利乐砖乳酸菌,5.5
120302,苹果类,7.98
150501,冷藏原味酸乳,11.9
220104,曲奇,5.7
151701,猪肉火腿肠,16.3
120104,花果,1.98
201304,色拉酱,15.9
220302,袋装薯片,4
220801,无糖口香糖,10.4
151503,火锅丸类,32.6
200706,红枣,37.8
210705,补钙/铁/锌,81.9
220403,梅,4.2
130801,现制蒸类,0.5
220405,山楂,4.9
152101,新鲜蛋品,6.78
120101,叶菜,2.56
201004,玉米油,87.9
220402,枣,3.7
301608,软抽纸巾,6.9
231701,进口碳酸,7.5
230304,植物蛋白饮料,4.9
120102,根茎,2.56
220305,粟米类,3.9
220401,葡萄干,11.9
220111,趣味/休闲,4.9
151701,猪肉火腿肠,16.3
100101,鲜猪肉,27.8
120104,花果,1.6
200201,牛肉口味,17.3
220801,无糖口香糖,5.2
200803,鸡精,7.3
120307,蕉类,9.98
201104,其他酱油,8.9
220103,威化,14.9
230304,植物蛋白饮料,5
120101,叶菜,5.8
120106,菌菇类,18
130803,现制烙类,1
200101,牛肉口味,2.5
343201,鞋垫,8
120101,叶菜,4.98
120303,梨类,11.98
200101,牛肉口味,3
200605,饺子粉,19.9
200502,杂粮挂面,6.9
220602,猪肉干,8.9
120102,根茎,5.8
200704,蔬菜,19.8
120104,花果,6.56
220799,其他糖果,1
210402,奶茶饮品,3
200301,牛肉口味,3.9
120101,叶菜,2.56
120104,花果,1.98
152101,新鲜蛋品,6.78
120307,蕉类,5.96
151803,利乐砖营养奶,76
120104,花果,2.58
201111,料酒,5.9
120101,叶菜,5.6
120102,根茎,3.8
201109,白醋,5.9
220107,酥性,3.7
231601,国产省内香烟,32
151813,利乐砖乳酸菌,5.5
220999,其他巧克力,37.8
220199,其他饼干,5.5
151299,其它汤圆,14.3
230703,纯味酸乳饮,4.9
300601,洗衣粉,10.9
220905,黑/纯巧克力,19.9
220514,西瓜子,8.5
201102,生抽酱油,6.9
301801,日用卫生巾,7.9
120101,叶菜,5.6
120102,根茎,2.56
120106,菌菇类,16.8
130803,现制烙类,1
220107,酥性,3.7
221004,立袋可吸果冻,3.3
200202,猪肉口味,21.8
220513,香瓜子,8.7
120104,花果,9.6
230101,可乐型,2.8
120104,花果,2.58
220304,薯条,3.3
152101,新鲜蛋品,6.78
220799,其他糖果,71
230201,纯柳橙汁,4.7
120205,豆类料理,5.8
331906,记号笔,3.3
120307,蕉类,5.96
220302,袋装薯片,5.9
220902,夹心巧克力,5.3
220106,钙奶,3.9
100101,鲜猪肉,27.8
220302,袋装薯片,3.3
220302,袋装薯片,4
231404,预调酒,10.5
201107,滴醋,3.8
120309,进口水果,17.6
120302,苹果类,11.98
301606,手帕纸,3
200806,香辛料,2.7
120307,蕉类,9.98
152101,新鲜蛋品,6.78
220799,其他糖果,4.5
100402,分割鸡件,35.8
220303,罐装薯片,8.3
221101,进口休闲食品,19.9
301802,夜用卫生巾,9.9
301603,无芯纸,14.5
220108,粗粮/蔬菜,3.7
150504,冷藏乳酸菌,11.5
220607,豆干类,2.5
311816,杂物筒,4.5
220110,简装/压缩,19.8
120104,花果,2.58
130801,现制蒸类,6
220106,钙奶,4.7
220399,其他膨化点心,2.7
301603,无芯纸,14.5
130803,现制烙类,1
120107,有机蔬菜,5
200803,鸡精,8.5
120106,菌菇类,18
120301,柑桔柚类,6.98
201306,甜面/豆瓣酱,3.7
120107,有机蔬菜,5
151099,其它水饺,10.3
151302,咸馅包子,19.3
220106,钙奶,3.7
301608,软抽纸巾,9.7
301603,无芯纸,14.5
200907,功能糖,9.9
120101,叶菜,2.56
230102,原味型,6.9
120102,根茎,2.56
120104,花果,2.58
201404,蔬菜,8.2
230203,纯苹果汁,5.7
220302,袋装薯片,3.7
300702,功能性香皂,1.9
152101,新鲜蛋品,6.78
100402,分割鸡件,17.6
201306,甜面/豆瓣酱,3.7
100104,猪骨,25.6
120303,梨类,3.18
220111,趣味/休闲,4.5
200602,袋装白米,49.9
201405,腐乳,7.9
220302,袋装薯片,2.5
201111,料酒,5.9
301606,手帕纸,2.9
120104,花果,9.6
120106,菌菇类,9
221202,无糖休闲食品,20
221101,进口休闲食品,12
301802,夜用卫生巾,6.7
230304,植物蛋白饮料,3.5
120101,叶菜,5.8
120102,根茎,2.56
150101,香肠类,16.5
120102,根茎,2.56
220208,散称糕点,23.8
151199,其它馄饨,7.3
120309,进口水果,17.6
120101,叶菜,2.56
301802,夜用卫生巾,6.3
220709,玩具糖,1
151701,猪肉火腿肠,16.3
201105,香醋,6.7
220607,豆干类,59
201405,腐乳,6.7
151701,猪肉火腿肠,16.3
152101,新鲜蛋品,6.78
120101,叶菜,5.6
120109,其它蔬菜,7.96
300601,洗衣粉,4.9
130201,卤制畜类,90
221004,立袋可吸果冻,2.3
220302,袋装薯片,5.9
220302,袋装薯片,6
201101,老抽酱油,7.3
220513,香瓜子,13.8
120104,花果,6.56
220710,棒糖,87.8
200709,粉丝/条,6.8
200805,香辛粉,3.9
100103,猪肉丝馅片,29.8
120301,柑桔柚类,3.98
120104,花果,9.6
151804,利乐砖酸酸乳,66
100101,鲜猪肉,27.8
120313,其它水果,5.96
220801,无糖口香糖,10.9
301805,套装卫生巾,7.7
200501,挂面,5.3
152101,新鲜蛋品,14.9
120302,苹果类,27.8
201402,瓜类,7.3
120501,咸菜干货,2
220401,葡萄干,11.9
201109,白醋,2.7
120106,菌菇类,9
120201,豆腐,1.5
201504,鱼类罐头,16.3
220302,袋装薯片,5.5
120301,柑桔柚类,10
220601,牛肉干,10.9
220999,其他巧克力,117
220799,其他糖果,3.5
201501,八宝粥,3.7
120105,鲜调味,3.56
220801,无糖口香糖,5.2
321399,其他季节性电器,38
220506,杏仁,16.9
220303,罐装薯片,7.9
152103,松花蛋,19.6
150504,冷藏乳酸菌,12.9
220205,中式糕点,9.3
120104,花果,2.58
120102,根茎,3.96
220106,钙奶,3.7
220502,带壳花生,11.8
151805,利乐枕纯奶,2.7
301801,日用卫生巾,14.7
210503,芝麻糊,22.7
301603,无芯纸,24.9
120101,叶菜,6
220399,其他膨化点心,2.9
120107,有机蔬菜,5
120102,根茎,5.56
120101,叶菜,4.98
120104,花果,2.58
301801,日用卫生巾,9.5
301804,卫生护垫,4.7
120104,花果,2.58
120104,花果,2.58
120102,根茎,56
200802,80%味精,1.9
230599,其他水,1.9
120104,花果,2.58
130201,卤制畜类,90
120201,豆腐,1.5
221001,果冻/布丁,7.9
221004,立袋可吸果冻,2.5
100404,调味鸡肉,19.6
311701,钢丝球,4.5
151701,猪肉火腿肠,16.3
120307,蕉类,5.96
201199,其他液体调料,6.9
120201,豆腐,2.96
120201,豆腐,1.5
120303,梨类,4
220501,核桃/肉,39.8
120302,苹果类,17.8
300801,洗发水,14.9
120106,菌菇类,9
220111,趣味/休闲,3.5
120201,豆腐,1.5
100101,鲜猪肉,29.8
200601,散称白米,5.58
151902,外送甜面包,17.8
220205,中式糕点,9.9
210599,其他冲调食品,3.8
120104,花果,7.8
130803,现制烙类,1
201306,甜面/豆瓣酱,13.3
200601,散称白米,4.2
150801,冷冻面食,13.9
330301,跳绳,6.7
130102,凉拌荤食,35.6
220208,散称糕点,25.8
220901,威化巧克力,8.5
220208,散称糕点,33.8
220208,散称糕点,33.8
201403,笋类,2.3
220513,香瓜子,5.3
120309,进口水果,15.9
220503,去壳花生,23.8
220599,其他炒货,64
120104,花果,9
300704,沐浴露,36.5
200501,挂面,2.9
200902,功能盐,2.8
152101,新鲜蛋品,6.78
220205,中式糕点,1.3
220205,中式糕点,17.8
200601,散称白米,6.58
200599,其他煮食面/粉,4.9
151301,甜馅包子,19.3
220405,山楂,9.5
100101,鲜猪肉,29.8
152101,新鲜蛋品,6.78
220111,趣味/休闲,7
150101,香肠类,16.5
200805,香辛粉,3.7
201101,老抽酱油,1
100104,猪骨,41.8
150504,冷藏乳酸菌,5
200902,功能盐,2.3
200902,功能盐,2.8
120101,叶菜,5.56
120201,豆腐,1.5
120104,花果,1.6
120106,菌菇类,5.5
230901,国产黄啤,6
120302,苹果类,11.98
120205,豆类料理,12
201306,甜面/豆瓣酱,6.7
220399,其他膨化点心,2.9
120102,根茎,1.96
120101,叶菜,4.98
120302,苹果类,11.98
220111,趣味/休闲,3.7
120102,根茎,3.96
301301,成人牙膏,3.9
120105,鲜调味,5.98
120301,柑桔柚类,14.99
120104,花果,5.8
220110,简装/压缩,19.8
210503,芝麻糊,22.7
201002,调和油,74.9
150503,冷藏果粒酸乳,11.3
120105,鲜调味,3.56
200505,鸡蛋挂面,5.9
150199,其它肠类,17.9
151802,利乐砖加味奶,3.5
120106,菌菇类,30
220502,带壳花生,11.8
120104,花果,5.8
150503,冷藏果粒酸乳,8.9
220513,香瓜子,4.3
220399,其他膨化点心,4.3
230701,果味乳饮,10.7
220601,牛肉干,10.9
220708,凝胶糖,3
220801,无糖口香糖,5.2
130201,卤制畜类,90
220899,其他口香糖,3.4
220106,钙奶,5.7
301603,无芯纸,14.5
301603,无芯纸,1.5
220302,袋装薯片,3.3
120103,芽菜,1.76
120104,花果,9.6
220801,无糖口香糖,10.9
200809,淀/酵/碱粉,1.3
120102,根茎,3.8
200603,常规面粉,21.9
200906,冰糖,5.9
201111,料酒,3.7
220607,豆干类,4
220513,香瓜子,3.2
120205,豆类料理,12
200805,香辛粉,6.7
220799,其他糖果,49.8
220111,趣味/休闲,4.5
220107,酥性,19.6
210202,包装茶,14.3
151806,利乐枕加味奶,2.8
220503,去壳花生,4.5
120303,梨类,11.98
120102,根茎,2.56
220111,趣味/休闲,4.3
120313,其它水果,30
120313,其它水果,11.98
120106,菌菇类,9
120102,根茎,3.96
152101,新鲜蛋品,6.78
130101,凉拌素食,20
220102,夹心,6.9
130803,现制烙类,1
201501,八宝粥,3.8
120306,桃/李类,9.96
300801,洗发水,22.9
201403,笋类,1.7
201401,榨菜,0.5
221202,无糖休闲食品,18
151701,猪肉火腿肠,13.3
201404,蔬菜,4.3
200803,鸡精,8.5
220202,蛋糕,51.6
120102,根茎,5
300605,去污/干洗剂,7.9
331999,其他笔类,2.3
120105,鲜调味,6.56
200805,香辛粉,6.9
301301,成人牙膏,6.7
120106,菌菇类,16.8
300602,洗衣液,17.9
220206,煎饼,6.5
120102,根茎,5.56
200601,散称白米,4.2
200803,鸡精,8.5
120104,花果,2.58
301608,软抽纸巾,15.9
120201,豆腐,2
200902,功能盐,2.3
220606,海苔,4.9
301608,软抽纸巾,15.9
120102,根茎,1.8
220503,去壳花生,2.9
120104,花果,2.58
210501,麦片/粉,11.7
220302,袋装薯片,3.6
120309,进口水果,15.9
201401,榨菜,0.5
220502,带壳花生,11.8
151704,蔬菜火腿肠,13.9
151701,猪肉火腿肠,16.3
120204,豆干豆皮,9.96
151804,利乐砖酸酸乳,66
300604,洗衣皂,9.9
151201,黑芝麻汤圆,10.3
210301,咖啡,40.3
151701,猪肉火腿肠,16.3
220599,其他炒货,35.8
301603,无芯纸,10.9
120102,根茎,3.96
220107,酥性,19.6
332099,其他美术用品,2.3
220608,肉松,9.5
120309,进口水果,17.6
201401,榨菜,0.5
220111,趣味/休闲,5.9
220499,其他蜜饯,17.9
230501,国产纯水,3.5
201306,甜面/豆瓣酱,13.3
120101,叶菜,5.56
120201,豆腐,1.5
220204,沙琪玛,14.3
130101,凉拌素食,20
200501,挂面,5.9
220513,香瓜子,4.3
220607,豆干类,2.5
120105,鲜调味,15.6
120102,根茎,5
220107,酥性,3.9
200607,杂粮,9.9
230604,健康机能饮料,4
230704,加味酸乳饮,5
220799,其他糖果,4.9
201404,蔬菜,8.2
120102,根茎,5
230304,植物蛋白饮料,3.8
120101,叶菜,5.56
120102,根茎,3.96
120105,鲜调味,5.98
220401,葡萄干,35.8
220199,其他饼干,16.9
120501,咸菜干货,2
100101,鲜猪肉,27.8
120501,咸菜干货,2
201401,榨菜,1
120101,叶菜,6.56
120201,豆腐,2.96
120201,豆腐,2.96
201404,蔬菜,5.9
120301,柑桔柚类,14.99
151701,猪肉火腿肠,16.3
120302,苹果类,11.98
220201,派,9.9
120309,进口水果,15.9
220401,葡萄干,35.8
120205,豆类料理,12
120104,花果,5.8
201401,榨菜,0.5
220401,葡萄干,35.8
220111,趣味/休闲,5.9
150504,冷藏乳酸菌,12.9
220111,趣味/休闲,4.5
120101,叶菜,5.6
220106,钙奶,3.9
301603,无芯纸,10.9
220401,葡萄干,33.8
221202,无糖休闲食品,24
220513,香瓜子,9.5
220205,中式糕点,3.9
120307,蕉类,5.96
151299,其它汤圆,14.3
120101,叶菜,5.6
120104,花果,1.98
120102,根茎,3.96
210402,奶茶饮品,3.2
230703,纯味酸乳饮,4.9
120102,根茎,3.96
200601,散称白米,5.58
100402,分割鸡件,35.8
220801,无糖口香糖,9
220899,其他口香糖,3.4
100101,鲜猪肉,27.8
120101,叶菜,2.56
120109,其它蔬菜,2
231007,水果酒,15
120102,根茎,2.56
120309,进口水果,17.6
230304,植物蛋白饮料,4.9
220599,其他炒货,35.8
220601,牛肉干,10.9
120104,花果,1.98
120102,根茎,2.56
151503,火锅丸类,32.6
201111,料酒,5.5
220111,趣味/休闲,4.2
220405,山楂,25.8
150504,冷藏乳酸菌,9.9
200301,牛肉口味,3
120102,根茎,5
200601,散称白米,4.2
200902,功能盐,2.3
120501,咸菜干货,2
220699,其他即食熟制品,60
201302,辣酱,5.9
220699,其他即食熟制品,2.7
231007,水果酒,12.7
